dataset,n,scenario,seed,schedule_files,arms_found,unknown_arm_files,unique_canonical_hashes
GermanOR,100,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,100,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,150,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,50,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
GermanOR,70,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,100,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,150,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,50,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,nominal,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,11,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,19,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,23,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,29,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,31,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,37,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,41,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,43,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,47,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Mannino,70,transfer_bottleneck,7,5,price_cal_w0|price_cal_w0p25|price_cal_w0p5|price_cal_w1|price_cal_w2,0,1
Synthetic,100,nominal,11,2,A_only|price_off_clean,0,2
Synthetic,100,nominal,19,2,A_only|price_off_clean,0,2
Synthetic,100,nominal,23,2,A_only|price_off_clean,0,2
Synthetic,100,nominal,29,2,A_only|price_off_clean,0,2
Synthetic,100,nominal,7,2,A_only|price_off_clean,0,2
Synthetic,100,transfer_bottleneck,11,2,A_only|price_off_clean,0,2
Synthetic,100,transfer_bottleneck,19,2,A_only|price_off_clean,0,2
Synthetic,100,transfer_bottleneck,23,2,A_only|price_off_clean,0,2
Synthetic,100,transfer_bottleneck,29,2,A_only|price_off_clean,0,2
Synthetic,100,transfer_bottleneck,7,2,A_only|price_off_clean,0,2
Synthetic,150,nominal,11,2,A_only|price_off_clean,0,2
Synthetic,150,nominal,19,2,A_only|price_off_clean,0,2
Synthetic,150,nominal,23,2,A_only|price_off_clean,0,2
Synthetic,150,nominal,29,2,A_only|price_off_clean,0,2
Synthetic,150,nominal,7,2,A_only|price_off_clean,0,2
Synthetic,150,transfer_bottleneck,11,2,A_only|price_off_clean,0,2
Synthetic,150,transfer_bottleneck,19,2,A_only|price_off_clean,0,2
Synthetic,150,transfer_bottleneck,23,2,A_only|price_off_clean,0,2
Synthetic,150,transfer_bottleneck,29,2,A_only|price_off_clean,0,2
Synthetic,150,transfer_bottleneck,7,2,A_only|price_off_clean,0,2
