dataset,n,scenario,seed,gap,source_file,gap_col_used
Mannino,100,nominal,43,-13350.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,nominal,47,5800.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,7,62961.35999999999,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,11,41450.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,19,-7200.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,23,17500.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,29,10900.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,31,8600.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,37,-27300.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,41,2500.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,43,-5000.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,100,transfer_bottleneck,47,2000.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,7,23300.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,11,148287.19999999995,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,19,116706.24,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,23,83296.16000000003,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,29,5900.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,31,-54567.12,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,37,-10996.319999999949,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,41,151425.68000000005,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,43,126758.64,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,nominal,47,88917.12,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,7,79686.40000000002,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,11,238093.92000000004,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,19,84800.47999999998,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,23,197487.76,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,29,18400.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,31,1800.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,37,21156.800000000047,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,41,126525.43999999994,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,43,219160.24,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Mannino,150,transfer_bottleneck,47,101120.88,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
Synthetic,100,nominal,11,56250.87999999995,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,19,22926.959999999963,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,23,25415.68000000005,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,29,78674.72000000009,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,31,6905.520000000019,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,37,15680.480000000098,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,41,251146.64000000013,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,43,85784.56000000006,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,47,950.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,nominal,7,-10050.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,11,6649.919999999984,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,19,67702.64000000001,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,23,73985.43999999994,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,29,-1449.6799999999348,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,31,-39218.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,37,15675.679999999937,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,41,290138.31999999983,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,43,-155913.76000000013,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,47,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,100,transfer_bottleneck,7,852.1599999999162,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,11,-6946004.48,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,19,41113.52000000002,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,23,112229.04000000004,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,29,-10104694.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,31,8763909.120000001,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,37,121818.79999999992,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,41,197429.52,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,43,8684294.96,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,47,-2724650.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,nominal,7,-1496540.88,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,11,1686780.56,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,19,164943.43999999994,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,23,-377536.8800000001,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,29,-284594.7999999998,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,31,110153.36,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,37,-258855.2000000002,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,41,22884.80000000028,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,43,10045772.000000002,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,47,6052648.4,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,150,transfer_bottleneck,7,105551.76,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,11,1144.959999999992,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,19,4158.160000000004,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,23,-2402.8800000000047,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,29,-9773.360000000044,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,31,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,37,-8466.640000000014,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,41,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,43,1409.6800000000512,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,47,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,nominal,7,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,11,-7000.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,19,-6905.359999999986,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,23,-11000.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,29,-3181.5200000000186,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,31,-16087.359999999986,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,37,4650.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,41,567.1199999999953,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,43,4481.039999999979,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,47,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,50,transfer_bottleneck,7,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,11,5224.160000000033,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,19,-17477.280000000028,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,23,-11800.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,29,17258.320000000007,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,31,-5896.880000000005,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,37,11515.919999999984,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,41,-25970.23999999999,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,43,8064.799999999988,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,47,-2200.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,nominal,7,-2999.7600000000093,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,11,2497.360000000044,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,19,-12238.719999999972,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,23,-18162.399999999965,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,29,29631.359999999982,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,31,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,37,2681.7600000000093,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,41,-10100.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,43,-6868.72000000003,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,47,0.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
Synthetic,70,transfer_bottleneck,7,-2100.0,synthetic_abclean_Aonly_full_analysis_v2\A_effect_w0_vs_clean_detailed_synth.csv,A_gap_clean_minus_Aonly
